,Tweet
15,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 3. Barbara Woods · @woodsnyc. ·."
16,Presidential debate 2020: Voters react to final Trump-Biden clash - BBC News. Voter Panel · bbc.com. Presidential debate 2020: Voters react to final ...
17,"Sep 30, 2020 — Who do you expect to win the first Presidential debate 2020? Vote & Retweet! Amosar esta enquisa."
18,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 1. のりんご☆P （河内家菊舞丸）."
19,"Sep 30, 2020 — Who do you expect to win the first Presidential debate 2020? Vote & Retweet! Show this poll."
20,"Oct 23, 2020 — The air is filthy: US President Donald Trump on climate change during the #PresidentialDebate US Presidential debate 2020 live updates: ..."
21,... in federal income taxes in 2016 and 2017 #Debates2020 https://wsj.com/livecoverage/trump-biden-first-presidential-debate-2020/card/hckrLtRDVizmkYErwFk0…
22,"Oct 8, 2020 — Who do you feel won the Vice Presidential Debate 2020? Vote & Retweet. Show this poll."
23,"Sep 29, 2020 — Who do you expect to win the first Presidential debate 2020? Vote & Retweet! Show this poll."
24,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. michael w gogger sr."
25,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. Emily · @Emilyhcul75. ·. Sep 30, 2020. Image."
26,"Vice ℙresidential Debate 2020 : The University of Utah : Kingsbury Hall, Nancy Peery Marriott Auditorium. ⏰: 7 - 8:30PM MST."
27,"Sep 30, 2020 — ""I guess I'm debating you, not [Biden]."" #Debates2020 http://nws.mx/tv · Embedded video. 1:41. 47.7K views. Presidential Debate 2020."
28,Who won the First Presidential Debate 2020? I heard it just got over in US..
29,"US Election 2020, Donald Trump vs Joe Biden Presidential Debate 2020: Trump, while defending his government's decision to exit the Paris Accord, ..."
30,"US Presidential Debate 2020 Highlights: Trump, Biden spar over coronavirus, climate change and race... Highlights of the final presidential debate between ..."
31,"Sep 30, 2020 — @Terrence_STR. ·. Sep 30, 2020. Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 1."
32,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 2. 7. ΛЦƧƬΣЯIƬY IƧ MЦЯDΣЯ."
33,"IVANKA & TRUMPS REFUSE TO WEAR MASKS AT 1ST PRESIDENTIAL DEBATE 2020 Sep 29: ""...2 days before she reported testing positive for the coronavirus."
34,Vice presidential debate 2020: Fact-checking Harris and Pence ...
35,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. الصورة. ٣. Barbara Woods · @woodsnyc. ·."
36,Mickah Claron's answer on the first round of the Presidential Debate 2020 - Fast Talk. #ClaronFEUHSSGPresident #PunlaNgBagongSimula #TindigServantLeaders.
37,IANS New York Bureau analysis of top takeaways from the first US presidential debate 2020#NewYork#USPresidentialDebate2020#USIANS TV - For the latest and ...
38,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 1. Josh Klemons · @jlemonsk. ·. Sep 30, 2020."
39,"Sep 30, 2020 — Here are the key highlights: https://cnbctv18.com/politics/fact-check-claims-from-trump-and-bidens-first-us-presidential-debate-2020-7060501.htm ..."
40,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 2. Nicole Danielle · @OnTheGoNicole."
41,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 1. 1. Luke Kowalski · @LukeKowalski1. ·."
42,"Oct 8, 2020 — Ozellis1miller@yahoo.com · @ozellis1miller. Vice presidential debate 2020. Translate Tweet. Image. 2:20 PM · Oct 8, 2020."
43,"Sep 28, 2020 — Who do you expect to win the first Presidential debate 2020? Vote & Retweet! Show this poll."
44,"Oct 24, 2020 — ... https://freeandequal.org/third-open-presidential-debate-2020/…… freeandequal.org. Third Open Presidential Debate 2020 - Free and Equal."
45,"Sep 30, 2020 — It was true. https://vox.com/2020/9/29/21494803/presidential-debate-2020-joe-biden-us-covid-deaths… #Debates2020. Image. 4:02 AM · Sep 30, ..."
46,... https://nationalpost.com/news/world/u-s-vice-presidential-debate-2020-livestream-mike-pence-kamala-harris-salt-lake-city/wcm/f502a644-2af5-4008-b2ff- ...
47,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 1. 3. Trying to Forget · @MusingsofCodyJ."
48,"Jun 14, 2023 — Discover more ; 3h · youtube.com. Rap Song of ""The Big Guy"". Trump vs Biden Presidential Debate 2020 ; 3h · youtube.com. HOLY MOLY!!! The press ..."
49,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. Gary Steel · @philasem. ·. Sep 30, 2020."
50,Who do you expect to win the first Presidential debate 2020? Vote & Retweet! این نظرسنجی نشان داده شود.
51,Presidential Debate Live Analysis - Trump Faces Biden https://wsj.com/livecoverage/trump-biden-first-presidential-debate-2020… via.
52,"Climate Change had its fair share of air time at the Presidential Debate 2020. While Trump wants ""crystal clear water and air"", Biden says no to coal and ..."
53,"US Presidential Debate 2020 Highlights: Trump, Biden spar over coronavirus, climate change and race... Highlights of the final presidential debate between ..."
54,Vice presidential debate 2020: Fact-checking Harris and Pence. Who told the truth and who shared a whopper? NBC News breaks down claims by Harris and Pence ...
55,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. Shahar Azani · @ShaharAzani. ·. Sep 30, 2020."
56,"Oct 8, 2020 — Vice-presidential debate 2020: Blow-by-blow as Kamala Harris and Mike Pence clash. Democrat Kamala Harris called Donald Trump's handling of ..."
57,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 1. Dustin Templeton · @dtempleton_smb."
58,"7,064. 18.4K. JD Tweeter is Crazy · @Jamison247. ·. Oct 10, 2020. Body Language: Vice Presidential Debate 2020 Pence Harris https://youtu.be/Ce8e0Zzx_U0 via."
59,and Case Western Reserve University for hosting tonight's Presidential debate #2020. Image. 2. 7. Nicola Ziady Retweeted.
60,Final Presidential Debate 2020 REMIX Ft. Lil' KC - WTFBRAHH https://youtu.be/mcXK-QXexUI via. @YouTube · @amy_begnaud · sarah7583 · @sarah75831.
61,"Sep 29, 2020 — Who do you expect to win the first Presidential debate 2020? Vote & Retweet! Show this poll. Billboard Roadie."
62,Body Language: First Presidential Debate 2020 https://youtu.be/qG3AoawrYNk via. @YouTube · Stephany Fischl · @StephanyFischl.
63,the first presidential debate (2020). Image. 100. 25.2K. 209.1K. wendy · @photonverse. Black Lives Matter https://blackmentalhealthmatters.carrd.co/# ...
64,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 1. Abdul محمد · @AbdulYul. ·."
65,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 2. Dr FAB, MD · @DrFariyaBukhari. ·."
66,"the first presidential debate (2020). Image. 100. 25.2K. 209.2K. Show this thread · haley decker · @haleydecker. ·. Sep 30, 2020."
67,Final Presidential Debate 2020 REMIX Ft. Lil' KC - WTFBRAHH. All our social media links:http://theremixbros.com/WTFBRAHH MERCH ...
68,"Sep 30, 2020 — Screenshot from the first Presidential debate 2020... #Debatenight #Debate2020 #debates. Image. 2:50 AM · Sep 30, 2020."
69,... not going to cut it. https://usatoday.com/story/opinion/2020/09/30/presidential-debate-2020-trumps-behavior-disgusted-female-voters-column/3585267001/…
70,"Awesome Presidential Debate 2020. This election will go down in history, this is a fight of Good and Evil.. The fight between Donald Trump and Joe Biden."
71,"Jun 5, 2023 — ... being too tough on crime? https://wsj.com/livecoverage/trump-biden-final-presidential-debate-2020-thursday/card/ugPhP6IWuslXJZ72oAGd…"
72,"US Presidential Debate 2020 in a nutshell. Embedded video. 0:19. 138. 20.1K. 61.7K. Heather Corbin Retweeted · Chip Gaines · @chipgaines. ·. Jun 14, 2020."
73,... Al Yankovic's take on the weird Presidential debate 2020.Original clip: https://www.nytimes.com/video/opinion/100000007370133/presidential-debate-weird.
74,The Final Presidential Debate 2020 will be broadcasted on our wide screens. Starting at 8PM. Stay informed. Karaoke with.
75,"Oct 2, 2020 — US Presidential Debate 2020 in a nutshell. Embedded video. 0:19. 599.9K views. 138. 20.2K. 62K. VGAddict · @VGAddict_FTW."
76,"Presidential Debate 2020. Image. 1. Charles Ishimwe · @charlesishimwe1. ·. Aug 29, 2020. Pure heart! until next time! Quote Tweet."
77,"Yeah, presidential debate 2020. Embedded video. 0:34. 7. 812. 1,992. Ryan Marter Retweeted · NFL Memes · @NFL_Memes. ·. Sep 13, 2020."
78,Donald Trump & Joe Biden First Presidential Debate 2020 Word Frequencies Extraction - playing around with regex to process semi-structured text.
79,"US Presidential Debate 2020 in a nutshell. Embedded video. 0:19. 138. 20.1K. 61.7K. karinini Retweeted · Cardi B · @iamcardib. ·. Oct 2, 2020."
80,"Trump vs Biden Presidential Debate 2020. moments from the final Trump-Biden presidential debateon THU, OCT 22 2020 · janice hraga."
81,Vice presidential debate 2020. Taking place in my home town! Biden/Harris 2020 #VPDebate #VPDebate2020 · Virginia Gee Retweeted · Square profile picture.
82,youtube.com. Mike Pence has a fly on his head! Vice presidential Debate 2020 · Nihaar Gupta Retweeted · Barack Obama · @BarackObama.
83,"Jun 5, 2023 — ... being too tough on crime? https://wsj.com/livecoverage/trump-biden-final-presidential-debate-2020-thursday/card/ugPhP6IWuslXJZ72oAGd…"
84,"Yeah, presidential debate 2020. Embedded video. 0:34. 71K views. 7. 814. 1,993. Kale Westin Daniels Retweeted · Courtney Daniels."
85,Final Presidential Debate 2020 REMIX - TRUMP vs Biden #coub https://coub.com/v/2l5l1w · Embedded video. 0:10. 30 views.
86,"Sep 29, 2020 — Who do you expect to win the first Presidential debate 2020? Vote & Retweet! Show this poll."
87,"the first presidential debate (2020). Image. 100. 25.2K. 209.5K. Show this thread · Jos Retweeted · chanel · @lyssachanel. ·. Sep 12, 2020."
88,"The Presidential Debate 2020 between President Donald Trump and Presidential Candidate Joe Biden is about to begin, moderated by Chirs Wallace."
89,"Patrick Bullock Retweeted · not Johnny Manziel (parody) · @JohnnyFootbalI. ·. Sep 30, 2020. Yeah, presidential debate 2020. Embedded video. 0:34. 71K views."
90,"the first presidential debate (2020). Image. 100. 25.3K. 210.1K. Show this thread · Ella Berard Retweeted · kailee · @KaileeDaniellee. ·. Sep 30, 2020."
91,Presidential debate 2020: Trump and Biden final debate fact-checked. The final face off between Donald Trump and Joe Biden covered a wide range of issues.
92,"Yeah, presidential debate 2020. Embedded video. 0:34. 71K views. 7. 815. 1,998. Jack Faron · @jfaron20. ·. Sep 30, 2020. Whats your take after that? Trump."
93,"youtube.com. Rap Song of ""The Big Guy"". Trump vs Biden Presidential Debate 2020. moments from the final Trump-Biden presidential debateon THU, OCT 22 2020."
94,Presidential debate 2020 #Debate2020 #debate #PresidentialDebate. Image. 1. 1. Pure Indie Rock · @pureindierock.
95,US presidential debate 2020: schedule of next Joe Biden and Donald Trump debates - and when vice presidential candidates go head to head https://trib.al/ ...
96,"Tweet #PackersCelly. Cody Hampton Retweeted · not Johnny Manziel (parody) · @JohnnyFootbalI. ·. Sep 30, 2020. Yeah, presidential debate 2020. Embedded video."
97,"Jun 5, 2023 — ... being too tough on crime? https://wsj.com/livecoverage/trump-biden-final-presidential-debate-2020-thursday/card/ugPhP6IWuslXJZ72oAGd…"
98,"Adam Gable Retweeted · not Johnny Manziel (parody) · @JohnnyFootbalI. ·. Sep 30, 2020. Yeah, presidential debate 2020. Embedded video. 0:34. 71K views."
99,The most remarkable thing about Biden's statement? It was true. https://vox.com/2020/9/29/21494803/presidential-debate-2020-joe-biden-us-covid-deaths…
,Tweet
0,#JoeBiden kicks off the Presidential Debate for #USElections2020 vs #DonaldTrump @JoeBiden @realDonaldTrump #PresidentialDebate2020 #LIVE.
1,"says people are learning to live with #COVID19, he retorts with ""People are learning to die with it, too"" #PresidentialDebate2020 http://arab.news/my3tv."
2,#PresidentialDebate2020 | US President. @realDonaldTrump. says his administration did a phenomenal job with the COVID-19 situation.
3,"See new Tweets. Conversation. Katie Couric · @katiecouric. This is a train wreck. #PresidentialDebate2020 · 1:18 AM · Sep 30, 2020."
4,Climate is one of this week's #PresidentialDebate2020 topics. But where's the interest? USC poll from September: Only 4% of voters put climate as their top ...
5,"Conversation. Elaine Welteroth · @ElaineWelteroth. Somebody get this moderator a stiff drink!!! #PresidentialDebate2020 · 2:41 AM · Sep 30, 2020."
6,"Sep 30, 2020. What is the Trump healthcare plan to replace The Affordable Care Act/Obamacare that he's made it a point to repeal? #PresidentialDebate2020."
7,Trump - millions of dollars Biden : I will abolish Trump Tax cuts Biden: you are the worst president America has ever had #PresidentialDebate2020.
8,"Oct 23, 2020 — I thought that was part of this #DebateTonight #Trump can't help him self! #Debates2020 #PresidentialDebate2020."
9,"Sep 30, 2020. What is the Trump healthcare plan to replace The Affordable Care Act/Obamacare that he's made it a point to repeal? #PresidentialDebate2020."
,Tweet
0,Debate Night 5-10 - Thoughts on DeLa - New world rankings system - Ratings suck - Best mid-round snack - Foundation Opening https://youtu.be/yvqTMp5Ca68.
1,"Weigh in on #debatenight with. @microsoftpulse. and. @MSNBC. right here: msnbc.com. 2016 Debate. Hillary Clinton and Donald Trump square off on Oct. 9, ..."
2,"#debatenight #Debate So... he paid as little taxes as possible. Who doesn't? Change the code. 1:32 AM · Sep 27, 2016."
3,"is winning tonight. #DebateNight #DebateHeadache. 1. HIM · @_Mrtoosmooth. ·. Oct 20, 2016. what app is that? Buffay Sommers · @XOLove_ST. ·. Oct 20, 2016."
4,"#debatenight · @HillaryClinton. during the final debate with. @realDonaldTrump. in Las Vegas Watch LIVE: http://ndtv.com/live. Image. 1:14 AM · Oct 20, 2016."
5,"#debatenight. Image. 2:10 AM · Oct 20, 2016 · 1,867. Retweets · 75. Quotes · 1,367. Likes · Jason Schnur-2023 Cardinals “Rhode Island or Bust”."
6,"See new Tweets. Conversation. Craig Ferguson · @CraigyFerg. When's Larry David on? #debatenight · 1:47 AM · Oct 20, 2016."
7,"good god i hope this is true #debatenight. Image. 1:12 AM · Oct 20, 2016 · 1,757. Retweets · 95. Quotes · 4,393. Likes."
8,"See new Tweets. Conversation. Craig Ferguson · @CraigyFerg. I want a puppet! #debatenight · 1:31 AM · Oct 20, 2016 · 177. Retweets."
9,"Jun 26, 2019 — Hey you crazy kids! Tonight is debate night and you know that means we have a new drinking game. Come be political with us!"
,Tweet
0,Debate Night 5-10 - Thoughts on DeLa - New world rankings system - Ratings suck - Best mid-round snack - Foundation Opening https://youtu.be/yvqTMp5Ca68.
1,"#debatenight #Debate So... he paid as little taxes as possible. Who doesn't? Change the code. 1:32 AM · Sep 27, 2016."
2,"is winning tonight. #DebateNight #DebateHeadache. 1. HIM · @_Mrtoosmooth. ·. Oct 20, 2016. what app is that? Buffay Sommers · @XOLove_ST. ·. Oct 20, 2016."
3,"#debatenight. Image. 2:10 AM · Oct 20, 2016 · 1,867. Retweets · 75. Quotes · 1,367. Likes · Jason Schnur-2023 Cardinals “Rhode Island or Bust”."
4,"#debatenight · @HillaryClinton. during the final debate with. @realDonaldTrump. in Las Vegas Watch LIVE: http://ndtv.com/live. Image. 1:14 AM · Oct 20, 2016."
5,"See new Tweets. Conversation. Craig Ferguson · @CraigyFerg. When's Larry David on? #debatenight · 1:47 AM · Oct 20, 2016."
6,"good god i hope this is true #debatenight. Image. 1:12 AM · Oct 20, 2016 · 1,757. Retweets · 95. Quotes · 4,393. Likes."
7,"See new Tweets. Conversation. Craig Ferguson · @CraigyFerg. I want a puppet! #debatenight · 1:31 AM · Oct 20, 2016 · 177. Retweets."
8,"Jun 26, 2019 — Hey you crazy kids! Tonight is debate night and you know that means we have a new drinking game. Come be political with us!"
9,"Conversation. Elizabeth Banks ❄️ · @ElizabethBanks. Climate change? Anyone? Bueller? #debatenight · 2:34 AM · Oct 20, 2016."
10,"#debatenight. 2. 3. Sarah Jackman · @VviewSsonicMair. ·. Oct 20, 2016. to quote Annie...""They're bad people!"" Omg he is a piece of work."
11,"Taking a break from #Debatenight to enjoy some fresh air outside w/ Maple. Image. 1:44 AM · Sep 27, 2016 · 42. Retweets · 4. Quotes · 279. Likes. 1."
12,Square profile picture · NDTV · @ndtv . @HillaryClinton. vs. @realDonaldTrump. – US Presidential Debate #debatenight #debates Highlights: ...
13,"Conversation. Leah Wright Rigueur · @LeahRigueur. This CNN panel is... not good. #debatenight · 3:13 AM · Oct 20, 2016."
14,"President Clinton, if you're nasty #debatenight Nasty Woman. Image. 3:53 AM · Oct 20, 2016 · 183. Retweets."
15,"How to Trump during #Debatenight. Image. 1:39 AM · Oct 20, 2016 · 1,191. Retweets · 87. Quotes · 1,451. Likes · Zac Bowling · @zbowling. ·."
16,PRETTY airports are important. Duh! #sarcasm #debatenight https://twitter.com/parrotheadkati ...
17,"Pinpin, my adorable dog, and I so ready to hop on the jet. Adam Parkhomenko · @AdamParkhomenko. ·. Jul 31, 2019. His first debate night verified tho."
18,"The Foolest · @twodotohmafia · read that header tho hella ominous, predictive ; Reezy · @Reezymythoughts · “ @fakeshoredrive. : H.R.C. M.O.B. #debatenight ”lmao."
19,"Trump responds to sexual assault allegations #debatenight. Image. 2:17 AM · Oct 20, 2016 · 44. Retweets · 29. Quotes · 66. Likes · Seamus Thebear."
20,"Hillary Blinton #debatenight. Image. 3. meme vids In my media · @Nick_Tweetz. ·. Sep 27, 2016. Woop woop I'll allow it RT."
21,"See new Tweets. Conversation. Oxford Politics · @OUPPolitics. What are “entitlements”? #WENtK #debatenight. Image. 2:30 AM · Oct 20, 2016."
22,"What happens in Vegas...Wayne Newton is at #DebateNight. Image. 12:48 AM · Oct 20, 2016 · 8. Retweets · 5. Quotes · 32. Likes · Robert Grenader."
23,"Conversation. Tyrion Lannister · @GoT_Tyrion. There is only one clear choice... #debatenight. Image. 2:09 AM · Oct 20, 2016."
24,"Less emails or tax returns please! #debatenight · 1:37 AM · Sep 27, 2016 · 242. Retweets · 12. Quotes · 1,019. Likes · Montemole · @montemole. ·."
25,"I'll keep my comments to myself smh. #debatenight · 3:13 AM · Sep 27, 2016 · 32. Retweets · 4. Quotes · 260. Likes · Michael London · @Mlondon83. ·."
26,"See new Tweets. Conversation. AMIR K · @AMIRCOMEDY. The guy. @realDonaldTrump. thinks hacked the DNC. #debatenight. Image. 2:12 AM · Sep 27, 2016."
27,"Conversation. World of Outlaws · @WorldofOutlaws. Water truck or no water truck? #debatenight · 2:05 AM · Oct 20, 2016."
28,"If this #debatenight were a Mortal Kombat set, both of them would be trying to do a fatality on the other person and missing every input."
29,"Conversation. Chelsea Peretti · @chelseaperetti. MELANIA SAID HE APOLOGIZED!!! #debatenight · 1:54 AM · Oct 20, 2016."
30,"What #DEBATENIGHT feels like! #IDIOCRACY #Camachoisback. Image. 5:41 PM · Oct 19, 2016 · 48. Retweets · 11. Quotes · 150. Likes · Tim Stevenson."
31,"See new Tweets. Conversation. Alison Lundergan Grimes · @AlisonForKY. She won. #Stamina #debatenight · 2:38 AM · Sep 27, 2016."
32,"Clinton-Trump #debatenight fact check http://thr.cm/9aoKHL. Image. 5:10 PM · Sep 27, 2016 · 46. Retweets · 3. Quotes · 79. Likes · The Bandit · @BandiVan. ·."
33,"Thanks for tuning in! #TeamCameron #DebateNight · Embedded video. 0:20 · 1:57 AM · Mar 8, 2023. ·. 21.1K. Views."
34,"See new Tweets. Conversation. Square profile picture · People · @people. It is a word! #DebateNight. Image. 2:00 AM · Sep 27, 2016 from Manhattan, NY."
35,#HillaryClinton and #DonaldTrump stay divided on immigration laws #debate #debatenight Track live updates on ...
36,"""Stick to Sports"": A #debatenight tradition for sports journalists who dare discuss it. Image. 2:07 AM · Oct 20, 2016."
37,"WERE THEY KILLED BY GUNS ORANGE ANUS #debatenight · 1:21 AM · Oct 20, 2016 · 81. Retweets · 13. Quotes · 506. Likes · Verena King-Boxleitner · @verenaking."
38,"#debatenight staying awake to watch this historical debate. Rooting for #HillaryClinton #IAmWithHer #NeverTrump. Image. 9:18 PM · Sep 26, 2016."
39,BDC_PR · @DebbieCaplanPR · #StopScreamingDonald #debatenight ; PAUL · @PaulMic1954hael · now crossing his legs ; Kemberly Richardson · @kemrichardson7 · Image.
40,The racist birther lie... Trump can't close the deal on that question. His answer doesn't jive. Think about that. #debatenight.
41,"What Hillary was really writing down tonight #debatenight. Image. 3:07 AM · Oct 20, 2016 from Pasadena, CA · 458. Retweets · 33. Quotes · 1,045. Likes."
42,"Word of the night...braggadocious #debatenight · 1:39 AM · Sep 27, 2016 · 165. Retweets · 7. Quotes · 692. Likes · Carly Waddell · @carlywaddell. ·."
43,"Trump and Clinton spar over ISIS on #debatenight http://nbcnews.to/2d4VzCh · 1:33 AM · Sep 27, 2016 · 14. Retweets."
44,"Follow our #DebateNight fact check and live transcript now: http://n.pr/2cR8Njb. Image. 1:37 AM · Sep 27, 2016 · 2,041. Retweets · 193. Quotes."
45,"#DebateNight stage will show a woman who's acted above the law & a man who's talked of sexually assaulting a woman. We, , deserve better."
46,"This dog is so #Bigly #debatenight #debate #debate2016. Image. 1:29 AM · Oct 20, 2016 · 420. Retweets · 26. Quotes · 1,090. Likes · dustin brooks."
47,"See new Tweets. Conversation. Larry Wilmore · @larrywilmore. Bad hombres! First dog whistle. #debatenight · 1:24 AM · Oct 20, 2016."
48,"#trumpsniff is everything #debatenight · 1:14 AM · Sep 27, 2016 · 7. Retweets · 1. Quote · 13. Likes · Kris Stewart · @KrisStewart79. ·. Sep 27, 2016."
49,"ALL YOUR BUSINESS DEALS FAIL U DELUSIONAL TURD #debatenight · 1:42 AM · Oct 20, 2016 · 312. Retweets · 23. Quotes · 1,228. Likes."
50,"See new Tweets. Conversation. Enes FREEDOM · @EnesFreedom. Sorry my man !! #DebateNight. Image. 2:46 AM · Sep 27, 2016."
51,"TEAM HILLARY BOYS #debatenight · 2:33 AM · Sep 27, 2016 · 56. Retweets · 2. Quotes · 507. Likes · LILRELOOP · @LILRELOOP. ·. Sep 27, 2016. ew. 30."
52,"980. 6,307. Shannon Beveridge · @nowthisisliving . @AndreaRussett. it's gonna be a long night #debatenight. Image. Andrea Russett · 1:42 AM · Oct 20, 2016."
53,"Oct 20, 2016. Replying to. @chescaleigh .It's so damn dumb, I always thought it was ""big league."" Can't make this stuff up. #debatenight · Sunshine ❄️."
54,"We doin #debate #debates #debatenight or wha. 1:02 AM · Oct 20, 2016 · 104. Retweets · 14. Quotes · 787. Likes · Shawn Garrett · @ShawnGarrett. ·."
55,"#debatenight make sure you watch, listen, and know who you're voting for. Tradueix el tuit. 12:32 a. m. · 27 de set. de 2016."
56,"No THIS is a great pivot #debatenight. Embedded video. GIF. 1:31 AM · Oct 20, 2016 · 136. Retweets · 9. Quote Tweets · 374. Likes · Alyssa · @tvwithapb. ·."
57,"HILARY: ""Cyberspace…"" TRUMP: ""I have property there."" #DebateNight. Image. 2:07 AM · Sep 27, 2016 · 242. Retweets."
58,#DebateNight: 11 US presidents did not attend college. Explore the historical numbers in this viz: http://tabsoft.co/election2016.
59,"@Rosie. "" made with chinese steel "" best line ever #debatenight · 2:07 AM · Oct 20, 2016 · 520. Retweets · 15. Quotes · 2,021. Likes · Cherie ¯\_(ツ)_/¯."
60,"What ""bad ombres"" actually look like #debatenight #badhombres. Image. 1:24 AM · Oct 20, 2016 · 480. Retweets."
61,"#debatenight Trump: ""Such a nasty woman."" America: Image. 2:34 AM · Oct 20, 2016 · 694. Retweets · 39. Quotes · 1,387. Likes · Whirldly · @Whirldly. ·."
62,"Ending #DebateNight with a Fact Check read on NPR. It's really well done! http://n.pr/2cR8Njb · 2:58 AM · Sep 27, 2016."
63,"Decided to update my profile. #nastywoman #debatenight. Image. 4:30 AM · Oct 20, 2016 · 64. Retweets · 12. Quotes · 396. Likes · Joseph Reid ♿️."
64,Trump seems so calm tonight. He must be on Cocaine PM #debates. 17. 100. 548. Smosh · @smosh. Bumping this tweet... too on the nose? #debatenight.
65,"The first presidential debate is in full swing. If you had to vote based on tonight's debate, which candidate would you choose? #debatenight."
66,"""Lots of luck, Hillary."" #DebateNight http://snappytv.com/tc/3051073/1698109… ... ...did I just hear Donald concede? ... she is killing it!!!!!! ... did he just ..."
67,"Hillary Clinton hits Donald Trump over tax plan #debatenight http://nbcnews.to/2d5bEGB · 1:24 AM · Sep 27, 2016 · 111. Retweets."
68,"Oct 19, 2016 — ""That brings to an end this year's debates."" #DebateNight. Embedded video. GIF. 2:37 AM · Oct 20, 2016 · 1,150. Retweets."
69,"#debatenight. Image. 8:37 PM · Sep 26, 2016 · 109. Retweets · 6. Quotes · 131. Likes · Tim Bluezz @Bluezzdrummer@det.social · @bluezzdrummer."
70,"Syed Mahmood · @syedmahmood · : #ImWithHer #debatenight ; Marion · @Marion92437760 · let's not...... ; BDC_PR · @DebbieCaplanPR · Good Luck, #ImWithHer."
71,"See new Tweets. Conversation. Dan Savage · @fakedansavage. Trump: ""Such a nasty woman."" WTF. #debatenight · 2:34 AM · Oct 20, 2016."
72,"When does Goldberg pop out and spear them #debatenight · 2:35 AM · Oct 20, 2016 from Santa Monica, CA · 166. Retweets · 4. Quotes · 1,095. Likes."
73,"See new Tweets. Conversation. Geeks of Color · @GeeksOfColor. Bad hombres??? Really #debatenight. Embedded video. GIF. 1:24 AM · Oct 20, 2016."
